SKU,LINEA,MODELO_PUERTA,ACABADO_COLOR,TIPO_JALADERA,CARAS,APLICA_VETA_H,APLICA_VETA_V
VID-LIS-BLA,VIDRIO,LINE (LISCIO),BLANCO,SIN JALADERA,1,NO,NO
VID-SOR-BRI,VIDRIO,LINE + JALADERA,BLANCO BRILLANTE,SORENTO A NEGRO,1,NO,NO
CER-LIS-DEK,CERÁMICA,LINE (LISCIO),DEKTON,SIN JALADERA,1,NO,NO
ALH-LIS-NAT,ALHÚ,LINE (LISCIO),NATURAL,SIN JALADERA,1,NO,NO
EUR-BAS-YOR,EUROPA BÁSICA,LINE (LISCIO),YORK,SIN JALADERA,2,APLICA,APLICA
EUR-SIN-ROM,EUROPA SINCRO,LINE (LISCIO),ROMA,SIN JALADERA,2,SI,SI
GUA-LIS-ALA,GUARARAPES,LINE (LISCIO),ALASKA,SIN JALADERA,2,SI,SI
TEN-LIS-PLA,TENERIFE,LINE (LISCIO),PLATA,SIN JALADERA,2,SI,SI
BRI-LIS-DRI,ALTO BRILLO,LINE (LISCIO),DRIFT WOOD,SIN JALADERA,2,NO,NO
FOI-LIN-BLC,FOIL,LINE,BLANCO CORTESA,SIN JALADERA,1,NO,NO
